age_upon_outcome,animal_id_outcome,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),outcome_datetime,outcome_month,outcome_year,outcome_monthyear,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),intake_datetime,intake_month,intake_year,intake_monthyear,intake_number,time_in_shelter,time_in_shelter_days
13 years,A381217,N/A,Rto-Adopt,Neutered Male,4745,2017-06-09 18:51:00,6,2017,2017-06,2004,3,2017-06,13 years,A381217,Dog,Miniature Poodle/Cairn Terrier,White/Cream,2005 Willow Creek in Austin (TX),Normal,Stray,Male - Neutered,1,4745,13.0,2017-06-04 17:21:00,6,2017,2017-06,2.0,5 days 01:30:00.000000000,5.0625
16 years,A504723,N/A,Rto-Adopt,Spayed Female,5840,2017-04-24 16:47:00,4,2017,2017-04,2001,4,2017-04,16 years,A504723,Dog,Chihuahua Shorthair Mix,Chocolate/White,Austin (TX),Aged,Owner Surrender,Female - Spayed,1,5840,16.0,2017-04-21 17:24:00,4,2017,2017-04,1.0,2 days 23:23:00.000000000,2.974305555555556
9 years,A549633,N/A,Rto-Adopt,Spayed Female,3285,2017-12-19 11:07:00,12,2017,2017-12,2008,1,2017-12,9 years,A549633,Dog,Dachshund,Red,12419 Metric in Austin (TX),Normal,Stray,Female - Spayed,1,3285,9.0,2017-12-15 17:37:00,12,2017,2017-12,1.0,3 days 17:30:00.000000000,3.7291666666666665
8 years,A565694,N/A,Rto-Adopt,Neutered Male,2920,2018-01-11 13:55:00,1,2018,2018-01,2009,1,2018-01,8 years,A565694,Dog,Beagle Mix,Tan,8814 Tallwood Dr in Austin (TX),Normal,Owner Surrender,Male - Neutered,1,2920,8.0,2017-12-16 13:32:00,12,2017,2017-12,2.0,26 days 00:23:00.000000000,26.01597222222222
8 years,A568109,N/A,Rto-Adopt,Neutered Male,2920,2017-04-10 15:11:00,4,2017,2017-04,2008,9,2017-04,8 years,A568109,Dog,Border Collie,Black/White,Manor (TX),Normal,Stray,Male - Neutered,1,2920,8.0,2017-03-29 09:08:00,3,2017,2017-03,1.0,12 days 06:03:00.000000000,12.252083333333333
7 years,A595045,N/A,Rto-Adopt,Neutered Male,2555,2017-04-19 15:46:00,4,2017,2017-04,2009,6,2017-04,7 years,A595045,Dog,Boxer Mix,Brown/White,8624 N Lamar in Austin (TX),Normal,Stray,Male - Neutered,1,2555,7.0,2017-03-25 11:23:00,3,2017,2017-03,1.0,25 days 04:23:00.000000000,25.18263888888889
6 years,A597335,N/A,Rto-Adopt,Spayed Female,2190,2017-09-16 16:08:00,4,2017,2017-04,2010,11,2017-04,6 years,A597335,Dog,Cane Corso/Blue Lacy,Blue/White,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,2190,6.0,2017-04-02 13:28:00,9,2017,2017-09,2.0,167 days 02:40:00.000000000,167.11111111111111
6 years,A616513,N/A,Rto-Adopt,Neutered Male,2190,2017-04-07 15:04:00,4,2017,2017-04,2010,12,2017-04,6 years,A616513,Dog,Siberian Husky Mix,Cream/Red,7201 Levander Loop in Austin (TX),Normal,Stray,Male - Neutered,1,2190,6.0,2017-04-05 19:30:00,4,2017,2017-04,1.0,1 days 19:34:00.000000000,1.8152777777777778
7 years,A627967,N/A,Rto-Adopt,Neutered Male,2555,2017-09-11 16:43:00,9,2017,2017-09,2010,5,2017-09,7 years,A627967,Dog,Pit Bull Mix,Tan/White,Austin (TX),Normal,Stray,Male - Neutered,1,2555,7.0,2017-08-29 12:57:00,8,2017,2017-08,1.0,13 days 03:46:00.000000000,13.156944444444445
7 years,A645971,N/A,Rto-Adopt,Neutered Male,2555,2018-02-25 11:49:00,2,2018,2018-02,2011,1,2018-02,6 years,A645971,Dog,Pit Bull Mix,White/Red,Austin (TX),Normal,Public Assist,Male - Neutered,1,2190,6.0,2017-11-02 14:14:00,11,2017,2017-11,1.0,114 days 21:35:00.000000000,114.89930555555556
5 years,A646990,N/A,Rto-Adopt,Neutered Male,1825,2017-12-14 16:55:00,12,2017,2017-12,2012,6,2017-12,5 years,A646990,Dog,Pit Bull Mix,Chocolate/White,500 Treys Way in Austin (TX),Normal,Stray,Male - Neutered,1,1825,5.0,2017-12-05 16:01:00,12,2017,2017-12,1.0,9 days 00:54:00.000000000,9.0375
4 years,A678294,N/A,Rto-Adopt,Neutered Male,1460,2018-03-06 13:44:00,3,2018,2018-03,2013,12,2018-03,3 years,A678294,Dog,Pit Bull Mix,Blue/White,715 E 8Th St in Austin (TX),Normal,Public Assist,Male - Neutered,1,1095,3.0,2017-10-15 13:00:00,10,2017,2017-10,1.0,142 days 00:44:00.000000000,142.03055555555557
3 years,A687107,N/A,Rto-Adopt,Neutered Male,1095,2017-06-25 12:20:00,6,2017,2017-06,2013,12,2017-06,3 years,A687107,Dog,Rhod Ridgeback,Red/Brown,7140 E Ben White in Austin (TX),Normal,Stray,Male - Neutered,1,1095,3.0,2017-06-19 13:26:00,6,2017,2017-06,3.0,5 days 22:54:00.000000000,5.9541666666666675
5 years,A689828,N/A,Rto-Adopt,Spayed Female,1825,2018-03-02 15:25:00,3,2018,2018-03,2012,10,2018-03,5 years,A689828,Dog,American Staffordshire Terrier Mix,Blue/White,140000 Renaissance Court in Austin (TX),Normal,Stray,Female - Spayed,1,1825,5.0,2018-02-06 18:03:00,2,2018,2018-02,1.0,23 days 21:22:00.000000000,23.89027777777778
